lambda;stepsize;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.002;0.3;0.0009;32;1;50;sigmoid;linear;uniform;0.13471714612176786;0.1746407502578673;0.002551999658743405;0.0038726371730468992;0.8666666666666666;0.8416666666666667;0.011909722222222217;0.00847222222222222
0.002;0.8;0.0009;32;1;150;sigmoid;linear;uniform;0.15145410441831963;0.1811761429043642;0.0011042678836153178;0.002207198681797759;0.8250000000000001;0.7833333333333333;0.007916666666666673;0.0022222222222222214
0.002;0.3;0.0009;32;1;100;tanh;linear;xavier;0.1075740639390994;0.1867045901454787;0.00041276600794507256;0.0012262624279086784;0.8916666666666666;0.7916666666666666;0.0005555555555555566;0.0009722222222222215
0.002;0.8;0.0009;32;1;50;sigmoid;linear;uniform;0.09588208522704265;0.19208968853478314;0.0004587720891365969;0.001342684925906519;0.9166666666666666;0.775;0.0017013888888888884;0.0012500000000000022
0.002;0.8;0.0009;32;1;100;sigmoid;linear;uniform;0.14654908261212432;0.19710672716193947;0.0013303026369367711;0.0001887788732626725;0.8083333333333332;0.7666666666666666;0.0026388888888888885;0.0022222222222222266
0.0001;0.3;0.0009;32;1;50;tanh;linear;xavier;0.12305879578355512;0.21002255380969648;0.0032626921352536947;7,78E+09;0.8791666666666668;0.7666666666666666;0.0038888888888888896;0.0005555555555555565
0.002;0.3;0.0009;32;1;50;sigmoid;linear;xavier;0.11674126499023622;0.21031943124683106;5,43E+10;0.00640826554431143;0.8791666666666668;0.7583333333333334;0.0026388888888888885;0.022638888888888885
0.0001;0.3;0.0009;32;1;100;tanh;linear;xavier;0.08207098813303831;0.21766766879425017;0.002307510936853581;0.0021890963131363096;0.9208333333333334;0.7583333333333333;0.005243055555555559;0.00013888888888888916
0.0001;0.3;0.0009;32;1;150;sigmoid;linear;xavier;0.1975039242376503;0.21970051213220568;0.0062121209120181604;0.011923430859954558;0.7208333333333333;0.7416666666666667;0.010868055555555561;0.014305555555555563
0.0001;0.8;0.0009;32;1;100;sigmoid;linear;uniform;0.22879247637296665;0.22603710317276052;0.019726968510007322;0.005613412164762588;0.7166666666666667;0.7166666666666667;0.028784722222222222;0.010972222222222223
0.0001;0.3;0.0009;32;1;100;sigmoid;linear;uniform;0.1658088488557983;0.24405709079695734;0.00409961184485735;0.0018855973646259322;0.8208333333333333;0.7083333333333334;0.016909722222222232;0.013472222222222214
0.002;0.3;0.0009;32;1;100;sigmoid;linear;xavier;0.1521513633265403;0.25224338566517374;0.005711914660614788;0.0077172107975432246;0.8041666666666667;0.7666666666666666;0.02440972222222221;0.023472222222222217
0.002;0.3;0.0009;32;1;150;tanh;linear;uniform;0.11308415499614037;0.25690785106072594;0.004577858918342712;0.0018123398290544838;0.9583333333333334;0.8083333333333332;0.0018055555555555544;0.0038888888888888896
0.002;0.8;0.0009;32;1;100;sigmoid;linear;xavier;0.248194967629765;0.2754314054996449;0.0019289123809806581;0.008622163461768915;0.65;0.6083333333333333;0.004062500000000001;0.017222222222222226
0.0001;0.8;0.0009;32;1;150;sigmoid;linear;xavier;0.22514360279736687;0.2886762186558529;0.008197746314169835;0.007763950078164658;0.7333333333333334;0.6999999999999998;0.020034722222222228;0.031666666666666655
0.0001;0.8;0.0009;32;1;50;tanh;linear;xavier;0.2303230362095953;0.290052842995187;0.013427658336898593;0.006233681963919648;0.8291666666666666;0.7583333333333333;0.002534722222222223;0.010972222222222223
0.002;0.8;0.0009;32;1;50;sigmoid;linear;xavier;0.18904812700506604;0.29673276937978815;0.0056234131646746245;0.005510127058339437;0.7625000000000001;0.6166666666666666;0.01385416666666667;0.01013888888888889
0.002;0.3;0.0009;32;1;150;sigmoid;linear;uniform;0.18383890214873688;0.31736018404114313;0.02346277158045967;0.08038598757092832;0.8166666666666668;0.75;0.02930555555555556;0.026249999999999996
0.002;0.3;0.0009;32;1;50;tanh;linear;uniform;0.2048145151649563;0.34100292738079224;0.032316655392932415;0.039007463195017585;0.8583333333333334;0.6916666666666668;0.0075347222222222196;0.0038888888888888896
0.002;0.3;0.0009;32;1;150;sigmoid;linear;xavier;0.29212644033208396;0.3472606173769163;0.05828839466069292;0.055709991329827485;0.7208333333333332;0.6583333333333333;0.023368055555555562;0.01555555555555555
0.0001;0.3;0.0009;32;1;150;tanh;linear;uniform;0.008566897584056;0.3598141646264496;9,57E+10;0.006185110974472881;1.0;0.6916666666666668;0.0;0.0018055555555555544
0.0001;0.3;0.0009;32;1;100;tanh;linear;uniform;0.05409892107310496;0.3734609573508832;0.0036471652303670804;0.037377040544797804;0.9583333333333334;0.7833333333333332;0.0034722222222222225;0.005138888888888891
0.0001;0.8;0.0009;32;1;50;tanh;linear;uniform;0.2728612479482187;0.3931973104016963;0.043652646804130564;0.03257863627137456;0.8708333333333332;0.7583333333333333;0.0033680555555555534;0.0018055555555555587
0.0001;0.3;0.0009;32;1;50;tanh;linear;uniform;0.15832510093097887;0.45916511477973;0.017984186805940845;0.022608472251033965;0.8958333333333334;0.6833333333333332;0.005972222222222225;0.0018055555555555544
0.002;0.8;0.0009;32;1;50;tanh;linear;xavier;0.6059472435090866;0.5851632915333592;0.21773434370901698;0.0740898480758867;0.775;0.6833333333333332;0.000729166666666667;0.00680555555555556
0.002;0.8;0.0009;32;1;50;tanh;linear;uniform;0.613704597434439;0.5853811024836618;0.3935558684441515;0.1762045042501762;0.7916666666666666;0.6749999999999999;0.0075347222222222196;0.011666666666666665
0.002;0.8;0.0009;32;1;100;tanh;linear;xavier;0.49263999463919433;0.5912956137468304;0.15876822575187788;0.171279354285283;0.7208333333333333;0.6;0.030243055555555565;0.042916666666666665
0.002;0.8;0.0009;32;1;150;tanh;linear;xavier;0.6140584308161624;0.6644857997031878;0.09549310050687736;0.14518636017008477;0.7291666666666666;0.6916666666666668;0.013159722222222225;0.034305555555555554
0.002;0.3;0.0009;32;1;150;tanh;linear;xavier;0.543211111540777;0.6708483818966275;0.0739031582727864;0.20945394978128914;0.7541666666666668;0.725;0.005868055555555561;0.003750000000000001
0.0001;0.8;0.0009;32;1;150;tanh;linear;xavier;0.8694270096966896;0.8790488036927154;0.0918164753019322;0.13414245388067794;0.6916666666666665;0.6833333333333332;0.009826388888888883;0.0018055555555555544
0.0001;0.8;0.0009;32;1;100;tanh;linear;xavier;0.7700123415607191;0.9094357532555177;0.2757695272651541;0.34263867850546137;0.7458333333333332;0.6583333333333333;0.010868055555555561;0.020555555555555553
